brand,model,boardModelId,primaryLane,secondaryLanes,confidence,missingFields
Lost,3.0 Stub Thumb,7826,high_performance_shortboard,powerful_wave_board,medium,waveRange; surferFit
Lost,3.0 Stub Thumb Driver,7827,high_performance_shortboard,powerful_wave_board,medium,waveRange; surferFit
Lost,Beach Buggy 2,7828,performance_daily_driver,one_board_quiver,low,waveRange; surferFit
Lost,Big Rig Driver,7829,fish,weak_wave_board,medium,waveRange; surferFit
Lost,Cali Twin,7830,twin_fin_performance,modern_fish; point_break_fish,medium,waveRange; surferFit
Lost,Cali Twin Pin,7831,twin_fin_performance,point_break_fish,medium,waveRange; surferFit
Lost,California Mid,7832,mid_length,,medium,waveRange; surferFit
Lost,Crowd Killer,7833,cruisy_mid_length,performance_mid_length,medium,waveRange; surferFit
Lost,Crowd Killer Round,7834,mid_length,,low,waveRange; surferFit; designData
Lost,Double Up,7835,mid_length,,low,waveRange; surferFit
Lost,Driver 2.0,7836,high_performance_shortboard,performance_daily_driver,medium,waveRange; surferFit
Lost,Driver 2.0 Round,7837,high_performance_shortboard,powerful_wave_board,low,waveRange
Lost,Driver 2.0 Squash,7838,high_performance_shortboard,powerful_wave_board,low,waveRange
Lost,Driver 3.0 Grom,7839,youth,,medium,waveRange
Lost,Driver 3.0 Round,7840,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
Lost,Driver 3.0 Squash,7841,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
Lost,El Patron,7842,fish,weak_wave_board,medium,waveRange; surferFit
Lost,Evil Twin,7843,groveller,twin_fin; weak_wave_board,low,waveRange; surferFit
Lost,Formula 1 Round,7844,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
Lost,Formula 1 Squash,7845,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
Lost,Glydra,7846,mid_length,,medium,waveRange; surferFit
Lost,Hydra,7847,high_volume_groveller,small_wave_speed_board,medium,waveRange; surferFit
Lost,Lazy Toy,7848,hybrid_daily_driver,one_board_quiver,medium,waveRange; surferFit
Lost,Little Wing,7849,high_performance_shortboard,powerful_wave_board,medium,waveRange; surferFit
Lost,Maysym Goofy,7850,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
Lost,Maysym Regular,7851,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
Lost,Micks Tape Goofy,7852,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
Lost,Micks Tape Regular,7853,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
Lost,Micks Tape Sym,7854,fish,weak_wave_board,medium,waveRange; surferFit
